STEM ATTACHMENT ANALYSIS

candidates=297
accepted=188
unmatched=109
cross-staff=0
ambiguous-direction=0
noteheads-attached=301/301

ACCEPTED STEMS
shape-512: attached-stem; m3; from=(1732.13,591.38) to=(1732.13,653.87); length=2.59sp; width=0.110sp; vertical-ratio=0.000; direction=Up; cross-staff=False; noteheads=[shape-748/s1]; confidence=78.1 %; vertical stroke touches 1 notehead(s); best edge distance=0.094sp; vertical-ratio=0.000; width=0.110sp; direction=Up; ownership-span=False; cross-staff=False
shape-642: attached-stem; m3; from=(1732.13,818.86) to=(1732.13,983.66); length=6.84sp; width=0.110sp; vertical-ratio=0.000; direction=Up; cross-staff=False; noteheads=[shape-937/s2,shape-938/s2,shape-936/s2,shape-939/s2]; confidence=84.1 %; vertical stroke touches 4 notehead(s); best edge distance=0.094sp; vertical-ratio=0.000; width=0.110sp; direction=Up; ownership-span=False; cross-staff=False
shape-506: attached-stem; m3; from=(1823.62,585.53) to=(1823.62,641.82); length=2.34sp; width=0.110sp; vertical-ratio=0.000; direction=Up; cross-staff=False; noteheads=[shape-766/s1]; confidence=78.1 %; vertical stroke touches 1 notehead(s); best edge distance=0.094sp; vertical-ratio=0.000; width=0.110sp; direction=Up; ownership-span=False; cross-staff=False
shape-505: attached-stem; m3; from=(1915.10,585.44) to=(1915.10,641.82); length=2.34sp; width=0.110sp; vertical-ratio=0.000; direction=Up; cross-staff=False; noteheads=[shape-767/s1]; confidence=78.1 %; vertical stroke touches 1 notehead(s); best edge distance=0.094sp; vertical-ratio=0.000; width=0.110sp; direction=Up; ownership-span=False; cross-staff=False
shape-503: attached-stem; m3; from=(2024.89,597.49) to=(2024.89,653.87); length=2.34sp; width=0.110sp; vertical-ratio=0.000; direction=Up; cross-staff=False; noteheads=[shape-768/s1]; confidence=78.1 %; vertical stroke touches 1 notehead(s); best edge distance=0.094sp; vertical-ratio=0.000; width=0.110sp; direction=Up; ownership-span=False; cross-staff=False
shape-583: attached-stem; m4; from=(2151.59,685.87) to=(2151.59,772.17); length=3.58sp; width=0.110sp; vertical-ratio=0.000; direction=Down; cross-staff=False; noteheads=[shape-822/s1,shape-828/s1]; confidence=83.1 %; vertical stroke touches 2 notehead(s); best edge distance=0.100sp; vertical-ratio=0.000; width=0.110sp; direction=Down; ownership-span=False; cross-staff=False
shape-643: attached-stem; m4; from=(2151.59,883.14) to=(2151.59,1035.71); length=6.33sp; width=0.110sp; vertical-ratio=0.000; direction=Down; cross-staff=False; noteheads=[shape-930/s2,shape-928/s2]; confidence=83.1 %; vertical stroke touches 2 notehead(s); best edge distance=0.100sp; vertical-ratio=0.000; width=0.110sp; direction=Down; ownership-span=False; cross-staff=False
shape-498: attached-stem; m4; from=(2180.26,591.38) to=(2180.26,653.87); length=2.59sp; width=0.110sp; vertical-ratio=0.000; direction=Up; cross-staff=False; noteheads=[shape-769/s1]; confidence=78.1 %; vertical stroke touches 1 notehead(s); best edge distance=0.094sp; vertical-ratio=0.000; width=0.110sp; direction=Up; ownership-span=False; cross-staff=False
shape-489: attached-stem; m4; from=(2271.75,585.53) to=(2271.75,641.82); length=2.34sp; width=0.110sp; vertical-ratio=0.000; direction=Up; cross-staff=False; noteheads=[shape-788/s1]; confidence=78.1 %; vertical stroke touches 1 notehead(s); best edge distance=0.094sp; vertical-ratio=0.000; width=0.110sp; direction=Up; ownership-span=False; cross-staff=False
shape-487: attached-stem; m4; from=(2363.24,585.44) to=(2363.24,641.82); length=2.34sp; width=0.110sp; vertical-ratio=0.000; direction=Up; cross-staff=False; noteheads=[shape-789/s1]; confidence=78.1 %; vertical stroke touches 1 notehead(s); best edge distance=0.094sp; vertical-ratio=0.000; width=0.110sp; direction=Up; ownership-span=False; cross-staff=False
