BEAM ATTACHMENT ANALYSIS

candidates=55
accepted=52
rejected=3
hooks=1
cross-staff=0
level-1=45
level-2=6
level-3=1
level-4+=0

ACCEPTED BEAMS
shape-1090: attached-primary-beam; m8; level=1; from=(1481.92,1383.41) to=(1562.70,1379.78); length=3.81sp; width=0.581sp; slope=-0.045; left=True; right=True; hook=False; cross-staff=False; stems=[shape-553@0.00sp,shape-566@0.04sp]; confidence=89.2 %; beam-like stroke intersects 2 stem(s); left-supported=True; right-supported=True; width=0.581sp; slope=-0.045; level=1 from per-stem rank(s) [1,1]; first-level beam has both ends supported by stems
shape-1104: attached-primary-beam; m8; level=1; from=(1612.79,1703.90) to=(1695.47,1705.70); length=3.89sp; width=0.585sp; slope=0.022; left=True; right=True; hook=False; cross-staff=False; stems=[shape-643@0.04sp,shape-655@0.00sp]; confidence=89.6 %; beam-like stroke intersects 2 stem(s); left-supported=True; right-supported=True; width=0.585sp; slope=0.022; level=1 from per-stem rank(s) [1,1]; first-level beam has both ends supported by stems
shape-1091: attached-primary-beam; m8; level=1; from=(1638.11,1372.78) to=(1721.13,1369.17); length=3.91sp; width=0.581sp; slope=-0.044; left=True; right=True; hook=False; cross-staff=False; stems=[shape-522@0.00sp,shape-486@0.04sp]; confidence=89.2 %; beam-like stroke intersects 2 stem(s); left-supported=True; right-supported=True; width=0.581sp; slope=-0.044; level=1 from per-stem rank(s) [1,1]; first-level beam has both ends supported by stems
shape-1118: attached-primary-beam; m8; level=1; from=(1771.25,1703.90) to=(1864.30,1705.70); length=4.38sp; width=0.584sp; slope=0.019; left=True; right=True; hook=False; cross-staff=False; stems=[shape-638@0.04sp,shape-634@0.00sp]; confidence=89.7 %; beam-like stroke intersects 2 stem(s); left-supported=True; right-supported=True; width=0.584sp; slope=0.019; level=1 from per-stem rank(s) [1,1]; first-level beam has both ends supported by stems
shape-1092: attached-primary-beam; m8; level=1; from=(1796.59,1362.16) to=(1889.94,1358.55); length=4.40sp; width=0.582sp; slope=-0.039; left=True; right=True; hook=False; cross-staff=False; stems=[shape-506@0.00sp,shape-561@0.04sp]; confidence=89.3 %; beam-like stroke intersects 2 stem(s); left-supported=True; right-supported=True; width=0.582sp; slope=-0.039; level=1 from per-stem rank(s) [1,1]; first-level beam has both ends supported by stems
shape-1086: attached-primary-beam; m9; level=1; from=(2017.95,1319.69) to=(2098.72,1316.06); length=3.81sp; width=0.581sp; slope=-0.045; left=True; right=True; hook=False; cross-staff=False; stems=[shape-472@0.00sp,shape-515@0.04sp]; confidence=89.2 %; beam-like stroke intersects 2 stem(s); left-supported=True; right-supported=True; width=0.581sp; slope=-0.045; level=1 from per-stem rank(s) [1,1]; first-level beam has both ends supported by stems
shape-1063: attached-primary-beam; m10; level=1; from=(2454.10,1319.69) to=(2534.88,1316.06); length=3.81sp; width=0.581sp; slope=-0.045; left=True; right=True; hook=False; cross-staff=False; stems=[shape-538@0.00sp,shape-540@0.04sp]; confidence=89.2 %; beam-like stroke intersects 2 stem(s); left-supported=True; right-supported=True; width=0.581sp; slope=-0.045; level=1 from per-stem rank(s) [1,1]; first-level beam has both ends supported by stems
shape-1076: attached-primary-beam; m11; level=1; from=(492.09,2033.10) to=(569.49,2029.47); length=3.65sp; width=0.581sp; slope=-0.047; left=True; right=True; hook=False; cross-staff=False; stems=[shape-569@0.00sp,shape-537@0.04sp]; confidence=89.2 %; beam-like stroke intersects 2 stem(s); left-supported=True; right-supported=True; width=0.581sp; slope=-0.047; level=1 from per-stem rank(s) [1,1]; first-level beam has both ends supported by stems
shape-1068: attached-primary-beam; m12; level=1; from=(905.13,2033.10) to=(982.53,2029.47); length=3.65sp; width=0.581sp; slope=-0.047; left=True; right=True; hook=False; cross-staff=False; stems=[shape-505@0.00sp,shape-567@0.04sp]; confidence=89.2 %; beam-like stroke intersects 2 stem(s); left-supported=True; right-supported=True; width=0.581sp; slope=-0.047; level=1 from per-stem rank(s) [1,1]; first-level beam has both ends supported by stems
shape-1084: attached-primary-beam; m12; level=1; from=(1054.72,2017.11) to=(1151.69,2018.91); length=4.57sp; width=0.584sp; slope=0.018; left=True; right=True; hook=False; cross-staff=False; stems=[shape-568@0.00sp,shape-474@0.04sp]; confidence=89.7 %; beam-like stroke intersects 2 stem(s); left-supported=True; right-supported=True; width=0.584sp; slope=0.018; level=1 from per-stem rank(s) [1,1]; first-level beam has both ends supported by stems
