OWNERSHIP RENDER DIAGNOSTICS
owned=no                   => ownership algorithm did not assign the shape
owned=yes rendered=no      => renderer/source mapping problem
mode=compound-component    => this split component was rendered with its own ownership color
mode=neutral-layout        => staff/bar layout geometry intentionally remains black
mode=compound-dominant     => component rendering was impossible; one fallback color was chosen
color-match=no             => shape has ownership, but fallback compound source used another color

SUMMARY
Stroke        total= 626 owned= 625 rendered= 625 exact-color= 625
CurvedStroke  total=  39 owned=  37 rendered=  37 exact-color=  37
EllipseLike   total= 417 owned= 409 rendered= 409 exact-color= 409
ShapeInstance total= 271 owned= 217 rendered= 217 exact-color= 217

DETAILS
shape-151    CurvedStroke  owned=yes staff-6+staff-pair-3-measure-7         g2 rendered=yes; mode=direct; displayed=staff-6+staff-pair-3-measure-7; color-match=yes; source=<path>
shape-152    CurvedStroke  owned=yes staff-6+staff-pair-3-measure-7         g2 rendered=yes; mode=direct; displayed=staff-6+staff-pair-3-measure-7; color-match=yes; source=<path>
shape-153    CurvedStroke  owned=yes staff-6+staff-pair-3-measure-7         g1 rendered=yes; mode=direct; displayed=staff-6+staff-pair-3-measure-7; color-match=yes; source=<path>
shape-154    CurvedStroke  owned=yes staff-6+staff-pair-3-measure-7         g1 rendered=yes; mode=direct; displayed=staff-6+staff-pair-3-measure-7; color-match=yes; source=<path>
shape-155    CurvedStroke  owned=yes staff-6+staff-pair-3-measure-6         g2 rendered=yes; mode=direct; displayed=staff-6+staff-pair-3-measure-6; color-match=yes; source=<path>
shape-53.21  CurvedStroke  owned=no  rendered=no  source=<path>
shape-53.8   CurvedStroke  owned=no  rendered=no  source=<path>
shape-1054   EllipseLike   owned=yes staff-1+staff-pair-1-measure-1         g2 rendered=yes; mode=direct; displayed=staff-1+staff-pair-1-measure-1; color-match=yes; source=<path>
shape-1124.6 EllipseLike   owned=yes staff-9+staff-pair-5-measure-5         g3 rendered=yes; mode=direct; displayed=staff-9+staff-pair-5-measure-5; color-match=yes; source=<path>
shape-1125.2 EllipseLike   owned=yes staff-9+staff-pair-5-measure-3         g2 rendered=yes; mode=direct; displayed=staff-9+staff-pair-5-measure-3; color-match=yes; source=<path>
shape-1125.4 EllipseLike   owned=yes staff-9+staff-pair-5-measure-3         g3 rendered=yes; mode=direct; displayed=staff-9+staff-pair-5-measure-3; color-match=yes; source=<path>
shape-1126.20 EllipseLike   owned=yes staff-1+staff-pair-1-measure-2         g4 rendered=yes; mode=compound-component; displayed=staff-1+staff-pair-1-measure-2; color-match=yes; source=<path>
shape-1126.5 EllipseLike   owned=yes staff-1+staff-pair-1-measure-1         g4 rendered=yes; mode=compound-component; displayed=staff-1+staff-pair-1-measure-1; color-match=yes; source=<path>
shape-1126.7 EllipseLike   owned=yes staff-1+staff-pair-1-measure-1         g3 rendered=yes; mode=compound-component; displayed=staff-1+staff-pair-1-measure-1; color-match=yes; source=<path>
shape-1127.2 EllipseLike   owned=yes staff-7+staff-pair-4-measure-5         g2 rendered=yes; mode=direct; displayed=staff-7+staff-pair-4-measure-5; color-match=yes; source=<path>
shape-1127.4 EllipseLike   owned=yes staff-7+staff-pair-4-measure-5         g3 rendered=yes; mode=direct; displayed=staff-7+staff-pair-4-measure-5; color-match=yes; source=<path>
shape-1128.15 EllipseLike   owned=yes staff-3+staff-pair-2-measure-2         g4 rendered=yes; mode=direct; displayed=staff-3+staff-pair-2-measure-2; color-match=yes; source=<path>
shape-1128.2 EllipseLike   owned=yes staff-3+staff-pair-2-measure-2         g3 rendered=yes; mode=direct; displayed=staff-3+staff-pair-2-measure-2; color-match=yes; source=<path>
shape-1128.4 EllipseLike   owned=yes staff-3+staff-pair-2-measure-2         g4 rendered=yes; mode=direct; displayed=staff-3+staff-pair-2-measure-2; color-match=yes; source=<path>
shape-1137.2 EllipseLike   owned=yes staff-4+staff-pair-2-measure-2         g4 rendered=yes; mode=direct; displayed=staff-4+staff-pair-2-measure-2; color-match=yes; source=<path>
shape-1139.2 EllipseLike   owned=yes staff-8+staff-pair-4-measure-1         g2 rendered=yes; mode=direct; displayed=staff-8+staff-pair-4-measure-1; color-match=yes; source=<path>
shape-1141.2 EllipseLike   owned=yes staff-8+staff-pair-4-measure-4         g2 rendered=yes; mode=direct; displayed=staff-8+staff-pair-4-measure-4; color-match=yes; source=<path>
