shape-44     Stroke        g1 staff-9+staff-pair-5-measure-1 -> staff-9+staff-pair-5-measure-6 reason=DirectIntersection; parent=-; distance=0.000
shape-45     Stroke        g1 staff-9+staff-pair-5-measure-1 -> staff-9+staff-pair-5-measure-6 reason=DirectIntersection; parent=-; distance=0.000
shape-46     Stroke        g1 staff-10+staff-pair-5-measure-1 -> staff-10+staff-pair-5-measure-6 reason=DirectIntersection; parent=-; distance=0.000
shape-47     Stroke        g1 staff-10+staff-pair-5-measure-1 -> staff-10+staff-pair-5-measure-6 reason=DirectIntersection; parent=-; distance=0.000
shape-48     Stroke        g1 staff-10+staff-pair-5-measure-1 -> staff-10+staff-pair-5-measure-6 reason=DirectIntersection; parent=-; distance=0.000
shape-49     Stroke        g1 staff-10+staff-pair-5-measure-1 -> staff-10+staff-pair-5-measure-6 reason=DirectIntersection; parent=-; distance=0.000
shape-50     Stroke        g1 staff-10+staff-pair-5-measure-1 -> staff-10+staff-pair-5-measure-6 reason=DirectIntersection; parent=-; distance=0.000
shape-54.1   ShapeInstance g3 staff-9+staff-pair-5-measure-1 -> staff-9+staff-pair-5-measure-1 reason=Proximity; parent=shape-54.2; distance=7.152
shape-54.2   ShapeInstance g2 staff-9+staff-pair-5-measure-1 -> staff-9+staff-pair-5-measure-1 reason=Proximity; parent=shape-980; distance=17.674
shape-55     ShapeInstance g4 staff-3+staff-pair-2-measure-1 -> staff-3+staff-pair-2-measure-1 reason=OuterBandAbove; parent=shape-665; distance=0.000
shape-56.1   ShapeInstance g3 staff-5+staff-pair-3-measure-1 -> staff-5+staff-pair-3-measure-1 reason=Proximity; parent=shape-56.2; distance=7.130
shape-56.2   ShapeInstance g2 staff-5+staff-pair-3-measure-1 -> staff-5+staff-pair-3-measure-1 reason=Proximity; parent=shape-981; distance=19.644
shape-57.1   ShapeInstance g3 staff-7+staff-pair-4-measure-1 -> staff-7+staff-pair-4-measure-1 reason=Proximity; parent=shape-57.2; distance=7.551
shape-57.2   ShapeInstance g2 staff-7+staff-pair-4-measure-1 -> staff-7+staff-pair-4-measure-1 reason=Proximity; parent=shape-982; distance=21.624
shape-58     Stroke        g1 staff-5+staff-pair-3-measure-3 -> staff-6+staff-pair-3-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-59     Stroke        g1 staff-3+staff-pair-2-measure-4 -> staff-4+staff-pair-2-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-60     Stroke        g1 staff-5+staff-pair-3-measure-1 -> staff-6+staff-pair-3-measure-2 reason=DirectIntersection; parent=-; distance=0.000
shape-61     Stroke        g1 staff-5+staff-pair-3-measure-1 -> staff-6+staff-pair-3-measure-1 reason=DirectIntersection; parent=-; distance=0.000
shape-62     Stroke        g1 staff-1+staff-pair-1-measure-4 -> staff-2+staff-pair-1-measure-5 reason=DirectIntersection; parent=-; distance=0.000
shape-63     Stroke        g1 staff-7+staff-pair-4-measure-3 -> staff-8+staff-pair-4-measure-4 reason=DirectIntersection; parent=-; distance=0.000
shape-64     Stroke        g1 staff-1+staff-pair-1-measure-5 -> staff-2+staff-pair-1-measure-5 reason=DirectIntersection; parent=-; distance=0.000
